CodePoint,LongName
0x2262,\[NotCongruent]
0x226D,\[NotCupCap]
0x2226,\[NotDoubleVerticalBar]
0x2209,\[NotElement]
0x2260,\[NotEqual]
0xF400,\[NotEqualTilde]
0x2204,\[NotExists]
0x226F,\[NotGreater]
0x2271,\[NotGreaterEqual]
0x2269,\[NotGreaterFullEqual]
0xF427,\[NotGreaterGreater]
0x2279,\[NotGreaterLess]
0xF429,\[NotGreaterSlantEqual]
0x2275,\[NotGreaterTilde]
0xF402,\[NotHumpDownHump]
0xF401,\[NotHumpEqual]
0x22EA,\[NotLeftTriangle]
0xF412,\[NotLeftTriangleBar]
0x22EC,\[NotLeftTriangleEqual]
0x226E,\[NotLess]
0x2270,\[NotLessEqual]
0x2268,\[NotLessFullEqual]
0x2278,\[NotLessGreater]
0xF422,\[NotLessLess]
0xF424,\[NotLessSlantEqual]
0x2274,\[NotLessTilde]
0xF428,\[NotNestedGreaterGreater]
0xF423,\[NotNestedLessLess]
0x2280,\[NotPrecedes]
0xF42B,\[NotPrecedesEqual]
0x22E0,\[NotPrecedesSlantEqual]
0x22E8,\[NotPrecedesTilde]
0x220C,\[NotReverseElement]
0x22EB,\[NotRightTriangle]
0xF413,\[NotRightTriangleBar]
0x22ED,\[NotRightTriangleEqual]
0xF42E,\[NotSquareSubset]
0x22E2,\[NotSquareSubsetEqual]
0xF42F,\[NotSquareSuperset]
0x22E3,\[NotSquareSupersetEqual]
0x2284,\[NotSubset]
0x2288,\[NotSubsetEqual]
0x2281,\[NotSucceeds]
0xF42D,\[NotSucceedsEqual]
0x22E1,\[NotSucceedsSlantEqual]
0x22E9,\[NotSucceedsTilde]
0x2285,\[NotSuperset]
0x2289,\[NotSupersetEqual]
0x2241,\[NotTilde]
0x2244,\[NotTildeEqual]
0x2247,\[NotTildeFullEqual]
0x2249,\[NotTildeTilde]
0xF3D1,\[NotVerticalBar]
0x00F1,\[NTilde]
0x03BD,\[Nu]
0xF3A0,\[Null]
0xF7FC,\[NumberComma]
0xF724,\[NumberSign]
0x00F3,\[OAcute]
0x0151,\[ODoubleAcute]
0x00F6,\[ODoubleDot]
0x0153,\[OE]
0x00F2,\[OGrave]
0x00F4,\[OHat]
0x03C9,\[Omega]
0x03BF,\[Omicron]
0x201C,\[OpenCurlyDoubleQuote]
0x2018,\[OpenCurlyQuote]
0xF7D2,\[OptionKey]
0x2228,\[Or]
0x00F8,\[OSlash]
0x00F5,\[OTilde]
0xFE37,\[OverBrace]
0x23B4,\[OverBracket]
0xFE35,\[OverParenthesis]
0xF3BD,\[PageBreakAbove]
0xF3BE,\[PageBreakBelow]
0x00B6,\[Paragraph]
0x2029,\[ParagraphSeparator]
0x2202,\[PartialD]
0xF3DE,\[PermutationProduct]
0x27C2,\[Perpendicular]
0x03D5,\[Phi]
0x03C0,\[Pi]
0xF361,\[Piecewise]
0x2653,\[PiscesSign]
0xF528,\[Placeholder]
0x00B1,\[PlusMinus]
0x2647,\[Pluto]
0x227A,\[Precedes]
0x2AAF,\[PrecedesEqual]
0x227C,\[PrecedesSlantEqual]
0x227E,\[PrecedesTilde]
0x2032,\[Prime]
0xF3DC,\[ProbabilityPr]
0x220F,\[Product]
0x2237,\[Proportion]
0x221D,\[Proportional]
0x03C8,\[Psi]
0x2669,\[QuarterNote]
0x0026,\[RawAmpersand]
0x0040,\[RawAt]
0x0060,\[RawBackquote]
0x005C,\[RawBackslash]
0x003A,\[RawColon]
0x002C,\[RawComma]
0x002D,\[RawDash]
0x0024,\[RawDollar]
0x002E,\[RawDot]
0x0022,\[RawDoubleQuote]
0x003D,\[RawEqual]
0x001B,\[RawEscape]
0x0021,\[RawExclamation]
0x003E,\[RawGreater]
0x007B,\[RawLeftBrace]
0x005B,\[RawLeftBracket]
0x0028,\[RawLeftParenthesis]
0x003C,\[RawLess]
0x0023,\[RawNumberSign]
0x0025,\[RawPercent]
0x002B,\[RawPlus]
0x003F,\[RawQuestion]
0x0027,\[RawQuote]
0x000D,\[RawReturn]
0x007D,\[RawRightBrace]
0x005D,\[RawRightBracket]
0x0029,\[RawRightParenthesis]
0x003B,\[RawSemicolon]
0x002F,\[RawSlash]
0x0020,\[RawSpace]
0x002A,\[RawStar]
0x0009,\[RawTab]
0x007E,\[RawTilde]
0x005F,\[RawUnderscore]
0x007C,\[RawVerticalBar]
0x005E,\[RawWedge]
0x00AE,\[RegisteredTrademark]
0x21B5,\[ReturnIndicator]
0xF766,\[ReturnKey]
0x2036,\[ReverseDoublePrime]
0x220B,\[ReverseElement]
0x21CB,\[ReverseEquilibrium]
0x2035,\[ReversePrime]
0x296F,\[ReverseUpEquilibrium]
0x0159,\[RHacek]
0x03C1,\[Rho]
0x221F,\[RightAngle]
0x232A,\[RightAngleBracket]
0x2192,\[RightArrow]
0x21E5,\[RightArrowBar]
0x21C4,\[RightArrowLeftArrow]
0xF114,\[RightAssociation]
0xF604,\[RightBracketingBar]
0x2309,\[RightCeiling]
0x301B,\[RightDoubleBracket]
0xF606,\[RightDoubleBracketingBar]
0x295D,\[RightDownTeeVector]
0x21C2,\[RightDownVector]
0x2955,\[RightDownVectorBar]
0x230B,\[RightFloor]
0x00BB,\[RightGuillemet]
0xF76C,\[RightModified]
0x25B8,\[RightPointer]
0xF762,\[RightSkeleton]
0x22A2,\[RightTee]
0x21A6,\[RightTeeArrow]
0x295B,\[RightTeeVector]
